Location,Distance_to_CBD,Bedrooms,Bathrooms,Floor_Size,Price,Amenities
Utawala,22.4,4,1,260,44660,
Ruaka,19,4,2,183,62163,"garden, parking, CCTV, swimming pool"
Ruaka,19,2,2,160,38275,"CCTV, swimming pool, parking, garbage collection, garden, gym, electric fence"
Juja,32.8,3,2,146,50949,"gym, CCTV, garden, swimming pool, parking, electric fence, garbage collection"
Lavington,5.9,4,2,248,320226,"electric fence, gym, CCTV, parking, swimming pool, garden"
Muthaiga,7,1,1,74,154993,"swimming pool, electric fence"
Juja,32.8,3,1,163,50198,"electric fence, parking, CCTV, garden"
Syokimau,24,4,1,278,92864,"garden, electric fence, CCTV, gym, parking, garbage collection"
Ruiru,25.3,4,2,289,60160,
Ruiru,25.3,2,1,117,21627,"swimming pool, parking, electric fence"
Westlands,3.2,3,3,221,145839,"electric fence, parking, garden, garbage collection, CCTV, gym"
Westlands,3.2,2,2,165,133496,"parking, CCTV, electric fence, garbage collection, garden"
Ruaka,19,1,1,57,16805,"gym, garbage collection, CCTV, electric fence, parking"
Kilimani,4,3,3,218,137643,"gym, garden, CCTV, parking, electric fence"
Ruaka,19,3,1,203,49822,"electric fence, swimming pool"
Westlands,3.2,4,4,253,284458,"electric fence, CCTV"
Kilimani,4,1,1,74,82710,"swimming pool, parking, gym, garden, electric fence, garbage collection, CCTV"
Kileleshwa,5.4,3,1,206,108124,"gym, swimming pool"
Ruiru,25.3,1,1,56,17516,"garden, parking, CCTV, swimming pool, garbage collection, electric fence"
Kilimani,4,3,1,188,97297,"gym, garden"
Syokimau,24,1,1,69,14706,"CCTV, garbage collection, parking"
Kileleshwa,5.4,1,1,50,79157,"electric fence, parking, CCTV, gym"
Muthaiga,7,4,4,236,440298,garden
Ruiru,25.3,2,1,163,25643,"swimming pool, garbage collection, parking"
Muthaiga,7,1,1,61,184011,"CCTV, gym"
Ruaka,19,3,2,161,44455,"electric fence, gym"
Muthaiga,7,4,3,275,375027,"garden, CCTV, garbage collection, electric fence, swimming pool, parking"
Muthaiga,7,2,1,175,343532,"garbage collection, parking, CCTV, gym"
Ruiru,25.3,1,1,71,14090,garden
Kileleshwa,5.4,1,1,56,56513,"electric fence, swimming pool, garden"
Ruiru,25.3,2,1,96,24343,
Juja,32.8,2,1,144,26752,"gym, garden"
Muthaiga,7,2,2,125,299037,"electric fence, garden, parking, gym"
Juja,32.8,2,1,92,26281,"garden, swimming pool, garbage collection, electric fence"
Kilimani,4,2,1,128,121105,"parking, garden, CCTV, garbage collection, gym, swimming pool, electric fence"
Ruiru,25.3,2,2,161,30771,"garden, swimming pool, CCTV, parking, garbage collection, gym, electric fence"
Lavington,5.9,2,1,94,70796,
Juja,32.8,4,3,243,64353,"electric fence, garden, parking, gym"
Kileleshwa,5.4,3,1,193,115372,garbage collection
Muthaiga,7,3,3,219,265006,
Ruaka,19,2,1,142,32270,
Syokimau,24,4,1,277,86381,"swimming pool, garbage collection, garden, CCTV, parking, gym"
Lavington,5.9,2,1,132,112816,"gym, garden, swimming pool, garbage collection, electric fence, CCTV"
Kilimani,4,2,2,90,107865,"parking, garbage collection, garden, gym, CCTV, electric fence"
Juja,32.8,4,4,194,57001,
Westlands,3.2,3,3,200,125097,
Kileleshwa,5.4,3,2,168,106590,"swimming pool, parking, garden"
Syokimau,24,1,1,59,19512,"CCTV, garden, gym, parking"
Muthaiga,7,4,3,184,473057,"garbage collection, parking, electric fence"
Kilimani,4,3,2,202,92264,
Ruiru,25.3,3,2,214,42987,"swimming pool, electric fence, garden, CCTV"
Lavington,5.9,1,1,50,95701,"CCTV, electric fence, garden, gym, swimming pool, garbage collection, parking"
Ruaka,19,2,1,130,29084,"garbage collection, gym, garden"
Utawala,22.4,2,2,138,17413,
Ruiru,25.3,3,3,176,44788,electric fence
Kilimani,4,1,1,62,76816,"garbage collection, parking, CCTV, gym, electric fence"
Lavington,5.9,1,1,55,82956,"electric fence, swimming pool, gym, parking"
Lavington,5.9,4,4,184,213884,"garbage collection, swimming pool"
Ruiru,25.3,3,3,209,38566,garden
Muthaiga,7,4,3,166,331350,"garbage collection, parking, electric fence"
Juja,32.8,1,1,77,15000,"garden, parking, electric fence, swimming pool"
Kilimani,4,2,2,159,78961,"parking, CCTV, gym"
Kileleshwa,5.4,2,1,111,83133,"CCTV, garbage collection"
Juja,32.8,1,1,60,13853,"parking, CCTV, garbage collection, swimming pool, gym, electric fence"
Syokimau,24,2,1,132,30261,"electric fence, garden, parking"
Kilimani,4,2,2,113,82682,gym
Muthaiga,7,2,1,179,263277,
Westlands,3.2,1,1,59,96777,"garbage collection, swimming pool, garden"
Ruiru,25.3,3,2,170,51982,
Juja,32.8,1,1,65,12512,
Kilimani,4,4,4,182,196351,"electric fence, swimming pool, gym, garbage collection, garden, CCTV, parking"
Muthaiga,7,2,1,139,221294,"garden, electric fence, CCTV"
Westlands,3.2,2,1,110,111407,
Syokimau,24,3,1,150,58733,"garbage collection, garden, CCTV, gym, parking, swimming pool"
Ruiru,25.3,3,3,165,59461,"CCTV, swimming pool, garden, gym, parking"
Muthaiga,7,1,1,59,240724,"electric fence, gym, garden, CCTV, swimming pool, parking"
Westlands,3.2,3,2,146,188075,"garbage collection, swimming pool, CCTV, gym, parking, electric fence, garden"
Westlands,3.2,1,1,69,109965,"electric fence, CCTV, swimming pool"
Lavington,5.9,2,2,139,95356,"gym, electric fence, swimming pool"
Lavington,5.9,1,1,60,92525,"parking, gym, garbage collection, electric fence, CCTV"
Kileleshwa,5.4,3,3,222,117742,"swimming pool, garbage collection, CCTV"
Juja,32.8,2,1,135,27632,"swimming pool, gym, garden"
Ruaka,19,4,3,297,70000,"CCTV, gym, garden, swimming pool, parking"
Westlands,3.2,2,2,136,210574,"CCTV, garden, garbage collection, swimming pool, electric fence, gym, parking"
Juja,32.8,2,1,166,21128,
Kileleshwa,5.4,3,1,214,128507,"garden, parking, swimming pool, CCTV, electric fence"
Kilimani,4,3,3,146,105364,"garden, CCTV, electric fence, garbage collection, parking, gym"
Ruaka,19,1,1,59,21755,"electric fence, CCTV, parking, gym"
Westlands,3.2,1,1,74,101351,gym
Westlands,3.2,2,1,147,143809,"swimming pool, parking"
Ruiru,25.3,4,3,269,70000,"garbage collection, swimming pool, parking, gym, electric fence"
Lavington,5.9,2,1,108,67938,gym
Muthaiga,7,4,1,244,427601,
Juja,32.8,1,1,70,15000,"swimming pool, parking, CCTV, garden"
Juja,32.8,4,2,187,57917,"CCTV, gym, swimming pool, garden, garbage collection, electric fence"
Lavington,5.9,1,1,79,100000,"electric fence, garden, swimming pool"
Kileleshwa,5.4,2,1,123,97232,"gym, garden, garbage collection, electric fence, CCTV"
Westlands,3.2,2,2,94,184422,"garbage collection, gym, parking, swimming pool"
Syokimau,24,3,2,140,53439,"garden, swimming pool, parking, garbage collection"
Ruaka,19,2,2,93,32204,"garbage collection, parking, CCTV, garden"
Ruiru,25.3,4,4,276,66602,"garden, parking, electric fence, swimming pool, gym, garbage collection"
Utawala,22.4,1,1,75,11986,"swimming pool, garden, CCTV"
Ruaka,19,2,2,105,45000,"swimming pool, electric fence, parking, gym, garbage collection, CCTV, garden"
Kileleshwa,5.4,4,4,195,230381,"CCTV, swimming pool, garden, parking, garbage collection, electric fence, gym"
Kilimani,4,4,4,244,238838,"CCTV, gym, electric fence, garden, garbage collection"
Kilimani,4,1,1,57,59295,"swimming pool, CCTV, parking, gym, electric fence, garden"
Juja,32.8,4,4,271,70000,"parking, gym, garden, swimming pool, garbage collection"
Kilimani,4,2,2,163,76503,gym
Kileleshwa,5.4,4,1,172,176235,electric fence
Utawala,22.4,2,1,121,23358,"CCTV, electric fence, garbage collection, swimming pool"
Muthaiga,7,1,1,58,197369,"CCTV, garden, garbage collection, swimming pool, parking, gym"
Muthaiga,7,1,1,75,177851,"parking, swimming pool, CCTV, garbage collection, electric fence, gym, garden"
Ruiru,25.3,1,1,78,19442,"CCTV, parking, garden, gym, swimming pool, electric fence, garbage collection"
Ruaka,19,2,1,114,44402,"parking, garbage collection, garden, swimming pool, CCTV, gym"
Juja,32.8,2,1,174,35000,"parking, gym, swimming pool, electric fence, garbage collection"
Kilimani,4,2,2,128,98959,"swimming pool, gym, parking, CCTV, electric fence, garbage collection"
Ruiru,25.3,2,1,111,27604,"gym, garbage collection, electric fence, swimming pool, CCTV"
Utawala,22.4,2,2,155,28000,"CCTV, garden, electric fence, gym, parking, garbage collection, swimming pool"
Utawala,22.4,3,3,146,35000,"electric fence, garbage collection"
Muthaiga,7,3,3,205,318787,
Ruaka,19,4,1,279,53712,gym
Lavington,5.9,1,1,76,94023,"CCTV, parking, garden, electric fence, gym"
Kileleshwa,5.4,3,3,157,114706,"CCTV, gym, parking"
Ruiru,25.3,4,2,220,69703,"electric fence, gym, swimming pool, garden, parking"
Ruiru,25.3,1,1,55,15687,"garden, swimming pool, garbage collection, electric fence, gym, CCTV, parking"
Syokimau,24,1,1,58,14512,"electric fence, garden, garbage collection, swimming pool"
Juja,32.8,4,1,267,70000,"garbage collection, swimming pool, electric fence"
Juja,32.8,2,1,103,35000,"gym, parking, garbage collection, swimming pool, CCTV"
Ruaka,19,3,1,198,60000,"gym, CCTV"
Westlands,3.2,4,4,238,199293,
Juja,32.8,2,1,178,34179,"garden, swimming pool, electric fence, garbage collection, CCTV, gym, parking"
Ruaka,19,4,3,215,56504,"garden, gym"
Lavington,5.9,4,1,274,298365,parking
Utawala,22.4,4,2,275,55000,"swimming pool, electric fence, gym, garden, CCTV, parking, garbage collection"
Lavington,5.9,1,1,59,83157,
Kileleshwa,5.4,1,1,67,56316,"CCTV, garbage collection"
Lavington,5.9,1,1,51,100000,"garden, parking, swimming pool, garbage collection, gym, CCTV"
Syokimau,24,1,1,66,15695,garden
Utawala,22.4,2,2,130,18700,"gym, CCTV"
Kileleshwa,5.4,3,1,145,89181,swimming pool
Lavington,5.9,2,2,114,113835,"gym, CCTV, parking, garbage collection, swimming pool, electric fence, garden"
Juja,32.8,2,2,123,26430,garden
Kileleshwa,5.4,1,1,76,54960,swimming pool
Utawala,22.4,1,1,67,13027,"garbage collection, parking"
Kilimani,4,1,1,50,64719,
Utawala,22.4,3,2,203,29519,garden
Westlands,3.2,4,2,266,243028,garbage collection
Lavington,5.9,3,3,170,113690,"garden, garbage collection"
Ruaka,19,2,2,126,45000,"parking, swimming pool, CCTV, garden, gym, garbage collection, electric fence"
Syokimau,24,2,2,156,44402,"garbage collection, electric fence, gym, CCTV, garden, parking, swimming pool"
Utawala,22.4,1,1,63,13752,"electric fence, gym"
Ruaka,19,1,1,79,21164,"electric fence, CCTV, garden, parking, garbage collection"
Lavington,5.9,4,2,254,333916,"parking, swimming pool, gym, CCTV"
Utawala,22.4,1,1,60,10782,
Westlands,3.2,2,1,142,178139,"CCTV, gym, garbage collection, garden, electric fence"
Westlands,3.2,2,2,168,135828,
Kilimani,4,4,1,190,187625,swimming pool
Lavington,5.9,4,4,192,327030,"swimming pool, garbage collection, CCTV"
Ruiru,25.3,2,1,123,22367,swimming pool
Kilimani,4,2,2,109,74376,electric fence
Juja,32.8,3,2,194,46429,
Ruaka,19,2,1,148,45000,"gym, garbage collection, garden, CCTV, electric fence, swimming pool"
Ruiru,25.3,4,4,192,70000,"garbage collection, CCTV, swimming pool, parking"
Westlands,3.2,1,1,67,145600,"gym, CCTV, swimming pool, garden, garbage collection, electric fence, parking"
Utawala,22.4,2,1,140,28000,"electric fence, garbage collection, gym, swimming pool, CCTV, garden"
Juja,32.8,3,1,188,45282,
Syokimau,24,3,3,192,49755,"garbage collection, garden"
Kileleshwa,5.4,4,2,193,163479,"electric fence, garbage collection, gym"
Utawala,22.4,1,1,55,13083,"electric fence, swimming pool, garden, CCTV, gym, garbage collection, parking"
Lavington,5.9,1,1,76,92761,
Westlands,3.2,1,1,64,97310,"gym, CCTV, electric fence, garbage collection, parking"
Kileleshwa,5.4,4,1,197,174516,"gym, CCTV, parking, garden, electric fence, swimming pool"
Ruiru,25.3,4,2,218,51826,"garden, parking, swimming pool"
Ruaka,19,3,2,151,60000,"CCTV, gym, electric fence, garbage collection, parking"
Muthaiga,7,1,1,69,185445,"electric fence, gym, CCTV"
Kilimani,4,2,2,136,103678,"gym, CCTV, swimming pool, garbage collection, garden"
Kileleshwa,5.4,3,1,144,80826,
Westlands,3.2,4,4,277,176234,
Muthaiga,7,2,2,126,272755,"parking, swimming pool, CCTV, gym"
Lavington,5.9,3,2,164,109282,"parking, CCTV"
Kilimani,4,4,2,183,206624,"gym, swimming pool, garbage collection, garden, parking, CCTV, electric fence"
Lavington,5.9,2,1,170,114082,"electric fence, garden, garbage collection, CCTV, swimming pool, parking, gym"
Syokimau,24,1,1,54,19159,"gym, electric fence, garbage collection, CCTV, parking, swimming pool"
Syokimau,24,4,4,281,73634,"swimming pool, gym"
Kileleshwa,5.4,2,1,95,84978,gym
Syokimau,24,2,1,119,39405,"parking, CCTV, gym, garden"
Lavington,5.9,1,1,60,100000,"swimming pool, electric fence, gym, garden"
Ruiru,25.3,4,4,286,49437,"CCTV, electric fence, garden"
Syokimau,24,3,3,156,49317,"garden, swimming pool, electric fence, gym, CCTV, garbage collection, parking"
Kileleshwa,5.4,2,1,120,105189,"garden, CCTV, swimming pool"
Utawala,22.4,3,3,226,35000,"CCTV, swimming pool, electric fence, garden, gym"
Juja,32.8,2,1,107,35000,"electric fence, CCTV, garden, parking, swimming pool, garbage collection"
Juja,32.8,3,2,149,35575,parking
Syokimau,24,3,2,148,50012,"garbage collection, garden, parking"
Utawala,22.4,1,1,54,13091,"garden, CCTV, garbage collection, parking, electric fence"
Muthaiga,7,2,2,180,284842,swimming pool
Muthaiga,7,1,1,54,231250,"electric fence, CCTV, garbage collection, garden"
Juja,32.8,2,2,118,35000,"garbage collection, parking, electric fence, CCTV, garden"
Juja,32.8,4,3,216,50146,"garbage collection, gym"
Kileleshwa,5.4,1,1,70,62376,
Juja,32.8,1,1,72,12102,"gym, CCTV"
Lavington,5.9,4,1,165,230607,"CCTV, swimming pool, garbage collection"
Muthaiga,7,4,4,252,332353,garbage collection
Kileleshwa,5.4,4,4,252,210995,"garden, parking, garbage collection, electric fence, swimming pool, CCTV, gym"
Juja,32.8,4,1,204,62986,
Ruiru,25.3,4,1,179,69195,"gym, garbage collection, garden, parking, electric fence, CCTV, swimming pool"
Lavington,5.9,3,2,223,134261,"swimming pool, CCTV, parking, garbage collection"
Muthaiga,7,4,4,165,381113,"electric fence, garbage collection, garden"
Ruaka,19,1,1,66,20501,swimming pool
Ruiru,25.3,2,2,163,27052,"CCTV, swimming pool, parking, gym"
Ruaka,19,1,1,58,21660,"gym, electric fence, garden"
Muthaiga,7,1,1,51,228306,"garden, garbage collection, gym, CCTV, swimming pool"
Ruiru,25.3,4,3,188,70000,"electric fence, gym, garbage collection, swimming pool, CCTV, parking, garden"
Lavington,5.9,1,1,54,100000,"swimming pool, garbage collection, CCTV, gym, parking"
Westlands,3.2,3,2,163,213226,"CCTV, garbage collection, gym, garden, electric fence, parking, swimming pool"
Utawala,22.4,4,2,220,55000,"garden, garbage collection, swimming pool, gym, CCTV, electric fence"
Lavington,5.9,2,2,105,75581,"garbage collection, parking"
Syokimau,24,1,1,61,19916,"CCTV, swimming pool, electric fence, garbage collection, gym"
Muthaiga,7,2,2,100,280933,"electric fence, gym, swimming pool"
Ruiru,25.3,3,3,203,39378,swimming pool
Juja,32.8,4,3,264,66028,garbage collection
Syokimau,24,4,2,253,87927,"parking, CCTV, swimming pool, electric fence"
Ruaka,19,4,2,203,70000,"garden, electric fence, garbage collection, CCTV, gym"
Kileleshwa,5.4,2,1,178,108460,"gym, garbage collection"
Ruiru,25.3,4,2,210,70000,"swimming pool, parking, garbage collection, garden, CCTV, electric fence"
Syokimau,24,2,2,157,33898,gym
Kileleshwa,5.4,3,2,175,125692,"parking, garbage collection, gym, CCTV"
Syokimau,24,1,1,67,14592,
Kileleshwa,5.4,3,1,174,151304,"parking, garbage collection, gym, CCTV, electric fence, swimming pool, garden"
Lavington,5.9,2,2,140,128376,"parking, electric fence, CCTV, garden, garbage collection, gym, swimming pool"
Westlands,3.2,1,1,75,107576,"garbage collection, CCTV, garden, parking, electric fence, swimming pool"
Kilimani,4,1,1,80,50156,"garbage collection, swimming pool"
Ruiru,25.3,3,1,180,44228,parking
Kilimani,4,1,1,80,60511,"gym, swimming pool, electric fence"
Ruiru,25.3,3,3,206,60000,"garbage collection, electric fence, garden, swimming pool, parking, gym, CCTV"
Ruiru,25.3,3,2,203,45564,"swimming pool, garbage collection"
Juja,32.8,3,3,180,50003,"parking, swimming pool, garden, garbage collection, CCTV, gym"
Juja,32.8,4,1,290,65164,"gym, parking"
Juja,32.8,3,1,214,38922,
Muthaiga,7,4,2,191,481844,"garbage collection, CCTV, swimming pool, garden"
Ruiru,25.3,2,2,147,23376,"garbage collection, electric fence, parking"
Kileleshwa,5.4,4,4,258,220630,"parking, garden, gym, garbage collection, CCTV, swimming pool, electric fence"
Utawala,22.4,4,2,295,55000,swimming pool
Westlands,3.2,3,3,222,163115,"garden, garbage collection, gym, CCTV, parking, electric fence"
Muthaiga,7,2,1,164,261039,
Syokimau,24,2,2,163,35072,"gym, garden"
Kilimani,4,1,1,55,68097,"garbage collection, gym, swimming pool, parking, CCTV, electric fence, garden"
Ruiru,25.3,4,4,205,66080,"swimming pool, CCTV, electric fence, garden"
Muthaiga,7,3,1,223,348324,electric fence
Kileleshwa,5.4,2,2,108,103069,"swimming pool, garden, parking, electric fence, garbage collection, CCTV, gym"
Lavington,5.9,4,2,255,268051,"garden, electric fence, garbage collection"
Utawala,22.4,4,4,221,40563,"gym, garden"
Westlands,3.2,3,3,187,153187,"CCTV, garden, electric fence, swimming pool, parking, garbage collection"
Lavington,5.9,3,2,201,79107,
Syokimau,24,3,2,204,44365,"garbage collection, swimming pool, CCTV"
Utawala,22.4,2,2,173,27047,"CCTV, parking, swimming pool, garbage collection, garden, electric fence, gym"
Kileleshwa,5.4,4,4,232,198717,"electric fence, CCTV, parking, garden"
Ruaka,19,4,3,169,56623,
Juja,32.8,1,1,51,13928,"parking, electric fence"
Syokimau,24,4,3,246,56845,parking
Westlands,3.2,1,1,79,100943,"gym, parking, garbage collection, CCTV, garden, electric fence"
Muthaiga,7,4,2,241,403741,"electric fence, swimming pool, gym"
Kilimani,4,4,1,160,194738,"swimming pool, parking, garbage collection, electric fence, CCTV, garden, gym"
Westlands,3.2,2,2,160,123431,
Westlands,3.2,1,1,52,95807,"parking, garden, CCTV, swimming pool, garbage collection"
Westlands,3.2,2,1,95,195930,"parking, CCTV, garbage collection, garden, gym"
Juja,32.8,2,2,152,29268,"CCTV, electric fence, garden, parking"
Kileleshwa,5.4,1,1,69,54503,"electric fence, swimming pool, gym"
Kilimani,4,1,1,71,85427,"CCTV, electric fence, garbage collection, garden, parking, swimming pool"
Ruaka,19,2,1,168,33290,"CCTV, swimming pool, parking"
Utawala,22.4,3,2,220,28137,"swimming pool, garden"
Muthaiga,7,4,1,218,401068,"garbage collection, parking, garden, swimming pool, gym"
Syokimau,24,2,2,95,33949,"swimming pool, parking, electric fence, CCTV"
Lavington,5.9,2,1,139,68276,
Lavington,5.9,1,1,58,87502,"garden, electric fence, gym, parking, garbage collection"
Kilimani,4,2,1,151,116263,"parking, garbage collection, garden, electric fence, CCTV"
Westlands,3.2,4,1,274,247966,"CCTV, parking, garbage collection, gym, electric fence, swimming pool, garden"
